,0
Samsung Galaxy J7 Prime,649
iPhone 5s,999
iPhone 6S,1679
iPhone 7,2229
LG G4 H818P,829
,0
iPhone 6,1499
iPhone 6 Plus,1589
Motorola Moto G5 Plus,1659
Motorola Moto G4 Plus,619
iPad Air Wi-Fi,1759
Samsung Galaxy S6 Flat,849
Samsung Galaxy S8 Plus,2229
Samsung Galaxy S5,619
iPhone SE,849
Samsung Galaxy S7,1199
Motorola Moto X2,569
Motorola Moto G3 4G,379
Motorola Moto X Play 4G Dual,1659
Motorola Moto G4 Play,439
Samsung Galaxy J5,609
Samsung Galaxy S5 New Edition Duos ,569
Motorola Moto G3 HDTV,379
Motorola Moto G5 ,1659
Samsung Galaxy J3,483
Samsung Galaxy S6 Edge,1629
Samsung Galaxy Note 8,1979
Sony Xperia Z2,912
Motorola Moto G2 3G Dual,409
Motorola Moto Z Play,829
Samsung Galaxy S8,2229
Samsung Galaxy On 7,390
Samsung Galaxy S7 Edge,390
iPhone 8,3279
iPhone 6S Plus,1699
LG K10 Novo,599
Samsung Galaxy Core Plus Duos TV,269
iPhone 5c,499
iPhone 4S,459
Motorola Moto X Style,889
iPhone 7 Plus,3219
Samsung Galaxy A5 2016,589
Samsung Galaxy A5,589
Motorola Moto G5S Plus,550
Samsung Galaxy J7,549
Samsung Galaxy A3 2016,369
Samsung Galaxy S3 i9300,319
Sony Xperia M4 Aqua Dual,549
Samsung Galaxy Note 3,599
Motorola Moto G2 4G Dual,399
iPad Mini Wi-Fi + 4G,899
iPhone 5,849
Samsung Galaxy Note 5,1425
Sony Xperia M4 Aqua,609
LG G5 SE,859
Motorola Moto Z,1100
Samsung Galaxy Note 4,989
iPad Air 2 Wi-Fi,1759
Samsung Galaxy S4 i9515,409
Sony Xperia Z5,1029
Samsung Galaxy J5 PRO,889
Samsung Galaxy S6 Edge Plus,1629
Lenovo Vibe A7010 Dual Chip,680
Samsung Galaxy J1 Mini,359
Samsung Galaxy S3 Mini,339
iPhone 4G,269
Samsung Galaxy Y Duos,179
Motorola Moto X Force,875
Motorola Moto Z2 Play,1250
Samsung Galaxy Gran Prime Duos TV,400
Samsung Galaxy A5 2017,589
Samsung Galaxy Gran Neo Duos,319
Motorola Moto MAXX ,650
Motorola Moto G4 DTV,439
Samsung Galaxy A9 Pro 2016,100
Samsung Galaxy S5 Mini Duos,429
Samsung Galaxy A7 2017,799
Samsung Galaxy J2 Prime TV,585
Samsung Galaxy Gran Prime 3G Duos,350
Sony Xperia Z3 Dual,729
Sony Xperia Z3 TV,729
Sony Xperia Z3 Compact,799
Samsung Galaxy J5 Prime,609
Motorola Moto E2 4G Dual,145
Samsung Galaxy Core 2 Duos,250
LG Nexus 5 D821,390
LG K10 TV,575
Motorola Moto E2 3G Dual,439
Samsung Galaxy J2 4G Duos TV,370
LG K10,588
Motorola Moto G4 Play DTV,439
Samsung Galaxy A7,569
Quantum GO 4G,690
iPad Air 2 Wi-Fi + 4G,1759
LG G4 Stylus H630,599
Samsung Galaxy J5 2016 Metal,529
LG G3 Beat D724,359
Samsung Galaxy Win Duos,329
Samsung Gear S2,850
Sony Xperia Z3 Plus,950
Samsung Galaxy S4 i9505,579
Lenovo Vibe K5,479
iPhone X,4649
LG G4 Beat H736,619
Samsung Galaxy S5 Duos,569
iPhone 8 Plus,3869
Samsung Galaxy A7 2016,569
LG G3 Stylus D690,479
Samsung Galaxy E5 4G Duos,729
LG G3 D855,600
Samsung Galaxy Grand Duos i9082,349
Samsung Galaxy J1 2016,349
Samsung Galaxy J7 2016 Metal,750
Samsung Galaxy J7 Neo,560
Samsung Galaxy S5 New Edition,619
Samsung Galaxy J2 4G Duos ,409
Samsung Galaxy E7,519
Samsung Galaxy Gran 2 Duos TV,150
Samsung Galaxy Win 2 Duos TV,389
Samsung Galaxy Note 3 Neo Duos,550
LG Prime Plus H522,619
Sony Xperia Z3 ,729
Sony Xperia Z5 Premium,1029
Samsung Galaxy Note 2 N7100,599
Samsung Galaxy Note Edge,2894
iPad Mini 3 Wi-Fi + 4G,1979
Samsung Galaxy Tab 3 10.1 Wi-Fi + 3G,719
Samsung Galaxy S3 Duos,419
LG G4 H815P,700
Samsung Galaxy A3 Duos,369
LG L Prime D337,380
iPad 3 Wi-Fi,2894
Samsung Galaxy S5 Mini,450
iPad Mini 4 Wi-Fi,2998
Samsung Galaxy Tab S2 8 Wi-Fi + 4G,1700
Samsung Galaxy J7 PRO,1000
LG  X Screen,350
Samsung Galaxy S4 Mini Duos,399
Asus Zenfone 3 Max 16 GB,619
Samsung Galaxy S3 Slim Duos,350
Quantum Muv Pro,499
Samsung Galaxy Tab E 7 Wi-Fi,399
Quantum Muv,499
Samsung Gear Fit 2 Pequeno,60
iPad Mini Wi-Fi,899
iPad Air Wi-Fi + 4G,1699
LG X Power,500
iPad 2 Wi-Fi + 3G,1759
iPad Mini 3 Wi-Fi,1979
Samsung Galaxy S4 i9500,600
Samsung Galaxy S4 Mini,399
Samsung Galaxy Tab S 10.5 Wi-Fi + 4G,1699
Motorola Moto Z Power Edition,2200
Samsung Galaxy Tab 4  10.1 Wi-Fi + 3G,675
Samsung Galaxy Tab A 2016 10.1  W-Fi + 4G,899
iPad 4 Wi-Fi,3900
Asus Zenfone 3 Max  32 GB,839
Samsung Galaxy Tab S 8.4 Wi-Fi + 4G,1350
Samsung Galaxy Tab A com S Pen 8 Wi-Fi + 4G,899
LG G4 Stylus HDTV H540T,500
LG K8,410
iPad 4 Wi-Fi + 4G,3900
LG K4,464
Motorola Moto G5S,899
Samsung Galaxy Tab Pro 10.1 Wi-Fi,675
Samsung Gear Fit 2 Grande,500
LG L80 Dual,429
Asus Zenfone Selfie,680
Motorola Moto Z2 Force,1595
Quantum YOU,500
Samsung Galaxy Gran Neo Plus Duos,299
Asus Zenfone 6,299
iPad Mini 2 Wi-Fi,849
Samsung Galaxy Gran Prime Duos,400
Asus Zenfone 5,1599
Samsung Gear S3 Frontier,1899
Samsung Galaxy Tab S2 9.7 Wi-Fi + 4G,1600
Samsung Galaxy Mega Duos,399
Samsung Galaxy Tab E 9.6 Wi-Fi,698
iPad Mini 2 Wi-Fi + 4G,849
iPad 3 Wi-Fi + 4G,1979
Asus Zenfone 2 Deluxe,880
Motorola Moto G1 4G,350
Samsung Gear S3 Classic,1199
Quantum Muv Up,299
Samsung Galaxy Tab E 9.6 Wi-Fi + 3G,698
iPad 2 Wi-Fi,1759
Asus Zenfone 2,880
Samsung Galaxy Tab E 7 Wi-Fi + 3G,399
Asus Zenfone Go,160
Asus Zenfone 2 Laser,880
Asus Live,649
"Asus Zenfone 2 Laser 6""",880
Quantum GO 3G,690
Samsung Galaxy S3 Neo Duos i9300i,419
Samsung Galaxy Pocket 2 Duos,154
Samsung Galaxy Young 2 Duos TV,220
iPad Mini 4 Wi-Fi + 4G,2998
Motorola Moto E1,499
Samsung Galaxy Tab S 10.5 Wi-Fi,1699
Samsung Galaxy Tab 4 10.1 Wi-Fi,675
Sony Xperia Z ULTRA,900
Motorola Moto G1 3G,379
Xiaomi Redmi 2,830
LG G2 Mini D618,220
LG Nexus 4,450
Outros TV LED 15,499
Motorola Moto E4 Plus,1300
Samsung Galaxy S Duos 2,399
